feature,importance
R_Claims_history,0.5633971876338238
N_claims_history,0.17308353680208924
Lapse,0.052430283037882844
Seniority,0.03994005968584309
Premium,0.024166445082251475
Policies_in_force,0.02058860470284298
Weight,0.017296620028575318
Value_vehicle,0.01638967601793372
Cylinder_capacity,0.01388253370904938
driving_experience,0.013193036944279606
customer_age,0.012414287002692113
Power,0.01220298898308869
vehicle_age,0.01138954813713073
Max_policies,0.010949424030451727
Payment,0.010525873551169223
Type_risk,0.002335537024286418
Area,0.001948956424760787
Type_fuel,0.0017035283091495939
Second_driver,0.0012534514394219112
Max_products,0.000908421453277263
