Application_ID,Age,Gender,State,Residence_Type,Monthly_Income,Employment_Status,Education_Level,Family_Members,Disability_Status,Application_Date,Eligibility_Score,Application_Status,Subsidy_Amount,level,state_ut,schemeCategory,benefit_type,benefit_amount_per_year,min_age,max_age,income_limit,social_category,gender_target,course_level,application_mode,scheme_name,details,documents_required,tags
GOV-10000,33,Non-Binary,Illinois,Rural,2412.18,Self-Employed,Tertiary,5,Yes,29-01-25,87,Rejected,500,Central,All India,Skill Development,Stipend,8000,14,74,800000,EWS,Any,PG,Online+Offline,Gov Assistance Scheme - 738,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10001,19,Female,California,Urban,2366.93,Unemployed,Secondary,3,Yes,20-07-25,41,Approved,2500,State,California,Social Welfare,Scholarship,94000,7,55,500000,Any,Male,Diploma,Online+Offline,Gov Assistance Scheme - 483,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10002,21,Female,New York,Urban,3332.03,Public Sector,Secondary,7,No,08-05-25,38,Pending,0,Central,All India,Housing,Stipend,27000,22,79,800000,EWS,Female,PG,Offline,Gov Assistance Scheme - 549,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10003,77,Non-Binary,New York,Urban,2606.59,Self-Employed,Tertiary,4,Yes,24-03-25,68,Pending,0,State,New York,Skill Development,Subsidy,56000,25,51,300000,General,Female,UG,Offline,Gov Assistance Scheme - 437,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10004,54,Non-Binary,Texas,Urban,2964.87,Private Sector,,1,No,11-06-25,11,Rejected,0,Central,All India,Skill Development,Scholarship,5000,6,52,500000,SC,Any,Diploma,Online+Offline,Gov Assistance Scheme - 165,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10005,75,Male,California,Rural,4130.15,Self-Employed,Tertiary,2,Yes,12-01-25,26,Rejected,0,State,California,Healthcare,Direct Benefit Transfer,71000,1,67,500000,SC,Non-Binary,School,Online+Offline,Gov Assistance Scheme - 419,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10006,83,Non-Binary,New York,Rural,2881.15,Student,Primary,5,No,28-06-25,72,Under Review,1200,Central,All India,Healthcare,Subsidy,92000,12,69,800000,General,Male,School,Offline,Gov Assistance Scheme - 116,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10007,75,Non-Binary,Florida,Rural,1688.61,Student,Secondary,5,Yes,10-05-25,12,Under Review,2500,Central,All India,Social Welfare,Scholarship,58000,21,45,500000,EWS,Female,UG,Online,Gov Assistance Scheme - 845,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10008,42,Male,California,Rural,2557.69,Private Sector,,6,No,22-01-25,9,Under Review,0,State,California,Agriculture,Subsidy,93000,14,47,500000,General,Non-Binary,Diploma,Offline,Gov Assistance Scheme - 854,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
GOV-10009,74,Non-Binary,New York,Rural,1180.56,Private Sector,Secondary,1,Yes,27-11-25,31,Pending,0,Central,All India,Skill Development,Direct Benefit Transfer,86000,24,64,200000,ST,Male,Diploma,Offline,Gov Assistance Scheme - 461,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support"
