application_id,age,gender,state,residence_type,income,employment_status,education_level,family_members,disability_status,application_date,eligibility_score,application_status,subsidy_amount,level,state_ut,schemecategory,benefit_type,benefit_amount_per_year,min_age,max_age,income_limit,social_category,gender_target,course_level,application_mode,scheme_name,details,documents_required,tags,eligible
GOV-11059,34,Male,Illinois,Urban,3741.32,Student,,4,Yes,05-12-25,26,Pending,0,Central,All India,Housing,Subsidy,46000,8,75,200000,Any,Female,UG,Offline,Gov Assistance Scheme - 941,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10372,18,Non-Binary,Florida,Urban,4424.52,Unemployed,,2,Yes,08-12-25,30,Under Review,2500,Central,All India,Education & Learning,Subsidy,66000,3,64,500000,Any,Any,Higher Secondary,Offline,Gov Assistance Scheme - 864,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-11700,25,Male,Illinois,Rural,3775.94,Public Sector,Primary,2,Yes,05-09-25,46,Under Review,500,Central,All India,Healthcare,Direct Benefit Transfer,8000,2,30,500000,General,Female,PhD,Online+Offline,Gov Assistance Scheme - 595,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11744,27,Non-Binary,Texas,Rural,4472.96,Student,Secondary,3,No,18-08-25,73,Under Review,1200,Central,All India,Agriculture,Subsidy,68000,1,61,800000,Any,Non-Binary,Higher Secondary,Offline,Gov Assistance Scheme - 527,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10637,47,Male,Illinois,Rural,814.35,Student,Tertiary,5,No,07-07-25,34,Pending,1200,State,Illinois,Healthcare,Grant,22000,22,68,800000,ST,Non-Binary,Vocational,Offline,Gov Assistance Scheme - 164,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10597,68,Male,California,Urban,187.67,Self-Employed,Tertiary,2,Yes,20-05-25,95,Pending,0,Central,All India,Social Welfare,Subsidy,17000,9,44,200000,Any,Non-Binary,PG,Online+Offline,Gov Assistance Scheme - 898,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10348,39,Non-Binary,Illinois,Urban,4948.42,Unemployed,,2,Yes,07-08-25,85,Pending,500,Central,All India,Education & Learning,Scholarship,91000,8,70,200000,Any,Any,UG,Online+Offline,Gov Assistance Scheme - 755,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",1
GOV-10091,47,Male,Illinois,Urban,1878.2,Public Sector,Primary,1,Yes,10-09-25,46,Approved,0,State,Illinois,Agriculture,Subsidy,83000,7,57,200000,EWS,Non-Binary,Higher Secondary,Online+Offline,Gov Assistance Scheme - 426,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-10921,83,Female,California,Rural,51.22,Public Sector,Primary,8,Yes,25-11-25,13,Rejected,2500,Central,All India,Skill Development,Scholarship,27000,7,59,800000,EWS,Male,UG,Online,Gov Assistance Scheme - 364,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
GOV-11029,84,Female,Florida,Rural,1870.24,Self-Employed,Primary,3,Yes,06-05-25,95,Pending,0,Central,All India,Education & Learning,Direct Benefit Transfer,35000,24,52,500000,SC,Non-Binary,PhD,Offline,Gov Assistance Scheme - 511,This scheme provides financial support to individuals meeting the eligibility criteria.,"Identity Proof, Address Proof, Income Certificate","Gov, Social Welfare, Support",0
